ID,"PAX Type",Airport,Year,Month,Passengers,IATA,ICAO,"Airport Type"
2953,"INTERNATIONAL PASSENGERS",VIJAYAWADA,2018,January,0,,,AUTO-ADDED
2954,"INTERNATIONAL PASSENGERS",TIRUPATI,2018,January,0,,,AUTO-ADDED
2955,"INTERNATIONAL PASSENGERS",BANGALORE,2018,January,352567,BLR,VOBL,"6 JV INTERNATIONAL AIRPORTS"
2956,"INTERNATIONAL PASSENGERS",HYDERABAD,2018,January,346149,HYD,VOHS,"6 JV INTERNATIONAL AIRPORTS"
2957,"INTERNATIONAL PASSENGERS",COCHIN,2018,January,485479,COK,VOCI,"6 JV INTERNATIONAL AIRPORTS"
2958,"INTERNATIONAL PASSENGERS",NAGPUR,2018,January,9601,NAG,VANP,"6 JV INTERNATIONAL AIRPORTS"
2959,"INTERNATIONAL PASSENGERS",PUNE,2018,January,21420,,,AUTO-ADDED
2960,"INTERNATIONAL PASSENGERS",VISAKHAPATNAM,2018,January,14351,,,AUTO-ADDED
2961,"INTERNATIONAL PASSENGERS",PATNA,2018,January,0,,,AUTO-ADDED
2962,"INTERNATIONAL PASSENGERS",CHANDIGARH,2018,January,17812,IXC,VICG,"8 CUSTOM AIRPORTS"
2963,"INTERNATIONAL PASSENGERS",BAGDOGRA,2018,January,1816,,,AUTO-ADDED
2964,"INTERNATIONAL PASSENGERS",MADURAI,2018,January,28559,,,AUTO-ADDED
2965,"DOMESTIC PASSENGERS",VIJAYAWADA,2018,January,64528,,,AUTO-ADDED
2966,"DOMESTIC PASSENGERS",TIRUPATI,2018,January,53826,,,AUTO-ADDED
2967,"DOMESTIC PASSENGERS",BANGALORE,2018,January,2202335,BLR,VOBL,"6 JV INTERNATIONAL AIRPORTS"
2968,"DOMESTIC PASSENGERS",HYDERABAD,2018,January,1403049,HYD,VOHS,"6 JV INTERNATIONAL AIRPORTS"
2969,"DOMESTIC PASSENGERS",COCHIN,2018,January,503516,COK,VOCI,"6 JV INTERNATIONAL AIRPORTS"
2970,"DOMESTIC PASSENGERS",NAGPUR,2018,January,201769,NAG,VANP,"6 JV INTERNATIONAL AIRPORTS"
2971,"DOMESTIC PASSENGERS",PUNE,2018,January,706234,,,AUTO-ADDED
2972,"DOMESTIC PASSENGERS",VISAKHAPATNAM,2018,January,212554,,,AUTO-ADDED
2973,"DOMESTIC PASSENGERS",PATNA,2018,January,236756,,,AUTO-ADDED
2974,"DOMESTIC PASSENGERS",CHANDIGARH,2018,January,132535,IXC,VICG,"8 CUSTOM AIRPORTS"
2975,"DOMESTIC PASSENGERS",BAGDOGRA,2018,January,198923,,,AUTO-ADDED
